ds,ndvi_mean,ndvi_std,ndvi_anomaly
2023-01-02,0.214766,0.143159,-0.149896
2023-01-09,0.482688,0.223567,0.002888
2023-01-16,0.463435,0.220258,-0.004765
2023-01-23,0.480325,0.195839,0.014311
2023-01-30,0.481653,0.217675,0.027697
2023-02-06,0.469633,0.226275,0.017978
2023-02-13,0.467519,0.229725,0.030014
2023-02-20,0.448234,0.221042,0.04917
2023-02-27,0.393436,0.166204,0.001829
2023-03-06,0.389132,0.19899,0.018466
2023-03-13,0.379669,0.2008415,0.022939
2023-03-20,0.370206,0.202693,0.035502
2023-03-27,0.374758,0.220952,0.045829
2023-04-03,0.348485,0.20809,0.051996
2023-04-10,0.302996,0.167075,0.036884
2023-04-17,0.308481,0.192284,0.033028
2023-04-24,0.289612,0.153939,0.040467
2023-05-01,0.261124,0.210718,0.024575
2023-05-08,0.277435,0.165653,0.031233
2023-05-15,0.263924,0.150607,0.069422
2023-05-22,0.255723,0.151752,0.031748
2023-05-29,0.231887,0.156201,0.004232
2023-06-05,0.244921,0.151561,0.037744
2023-06-12,0.201718,0.160358,0.002086
2023-06-19,0.15505,0.149675,-0.034919
2023-06-26,0.1538475,0.152402,-0.041614
2023-07-03,0.152645,0.15512900000000002,-0.048308
2023-07-10,0.1514425,0.157856,-0.065897
2023-07-17,0.15023999999999998,0.160583,-0.083486
2023-07-24,0.1490375,0.16331,-0.101075
2023-07-31,0.147835,0.166037,-0.118664
2023-08-07,0.1466325,0.168764,-0.067963
2023-08-14,0.14543,0.171491,-0.106135
2023-08-21,0.2550535,0.238169,-0.070423
2023-08-28,0.364677,0.304847,-0.034711
2023-09-04,-0.011329,0.144785,-0.322752
2023-09-11,0.339928,0.265615,-0.080259
2023-09-18,0.249455,0.31778,-0.083979
2023-09-25,0.285047,0.282367,0.024807
2023-10-02,0.485636,0.207789,0.243241
2023-10-09,0.485249,0.171942,0.139178
2023-10-16,0.2577,0.156892,-0.062438
2023-10-23,0.425495,0.17567,0.005454
2023-10-30,0.417936,0.191723,0.008829
2023-11-06,0.226164,0.146618,-0.143373
2023-11-13,0.398651,0.183523,-0.029782
2023-11-20,0.287561,0.216316,-0.100814
2023-11-27,0.138834,0.164361,-0.095906
2023-12-04,0.236743,0.193973,-0.149107
2023-12-11,0.46602,0.203446,0.005987
2023-12-18,0.357998,0.19912,0.07086
2023-12-25,0.471998,0.222233,0.039041
2024-01-01,0.442008,0.200901,0.077346
2024-01-08,0.476204,0.23107,-0.003596
2024-01-15,0.461947,0.22682,-0.006253
2024-01-22,0.444109,0.221954,-0.021905
2024-01-29,0.417295,0.215599,-0.036661
2024-02-05,0.40814700000000004,0.21534550000000002,-0.043508
2024-02-12,0.398999,0.215092,-0.038506
2024-02-19,0.351722,0.181436,-0.047342
2024-02-26,0.366665,0.209667,-0.024942
2024-03-04,0.338559,0.18117,-0.032107
2024-03-11,0.324166,0.174823,-0.032564
2024-03-18,0.287327,0.156534,-0.047377
