ds,y
2001-01-10,253.33333333333334
2001-02-08,350.0
2001-03-07,420.0
2001-03-08,420.0
2001-03-13,220.0
2001-03-15,220.0
2001-03-17,220.0
2001-03-20,22.0
2001-03-21,220.0
2001-03-22,200.0
2001-03-27,225.0
2001-03-29,267.5
2001-03-30,340.0
2001-04-03,342.5
2001-04-05,400.0
2001-04-06,400.0
2001-04-07,425.0
2001-04-08,425.0
2001-04-10,400.0
2001-04-11,327.5
2001-04-12,317.5
2001-04-13,390.0
2001-04-14,390.0
2001-04-18,270.0
2001-04-19,307.0
2001-04-20,310.0
2001-04-21,340.0
2001-04-24,276.0
2001-04-25,333.0
2001-04-26,342.0
2001-04-27,291.0
2001-04-28,352.0
2001-04-29,350.0
2001-04-30,240.0
2001-05-01,300.0
2001-05-02,300.0
2001-05-03,275.0
2001-05-04,300.0
2001-05-05,287.0
2001-05-08,233.5
2001-05-09,512.3333333333334
2001-05-11,213.5
2001-05-12,235.0
2001-05-15,240.0
2001-05-17,210.0
2001-05-22,252.0
2001-05-23,260.0
2001-05-24,231.0
2001-05-25,227.5
2001-05-26,230.0
2001-05-30,272.5
2001-05-31,277.5
2001-06-01,263.0
2001-06-02,255.66666666666666
2001-06-03,250.0
2001-06-04,340.0
2001-06-05,250.0
2001-06-06,332.5
2001-06-07,291.5
2001-06-08,267.5
2001-06-09,285.5
2001-06-10,265.0
2001-06-11,337.0
2001-06-12,262.0
2001-06-13,301.3333333333333
2001-06-14,283.5
2001-06-15,297.5
2001-06-16,265.0
2001-06-17,287.5
2001-06-18,326.0
2001-06-19,307.6
2001-06-20,277.3333333333333
2001-06-21,337.5
2001-06-22,292.0
2001-06-23,280.0
2001-06-24,260.0
2001-06-25,280.0
2001-06-26,270.0
2001-06-27,290.0
2001-06-28,290.0
2001-06-29,285.0
2001-06-30,807.5
2001-07-01,315.0
2001-07-02,317.3333333333333
2001-07-03,335.0
2001-07-04,351.6666666666667
2001-07-05,653.3333333333334
2001-07-06,1125.0
2001-07-07,555.5
2001-07-08,385.0
2001-07-09,552.5
2001-07-10,552.8571428571429
2001-07-11,458.3333333333333
2001-07-12,280.0
2001-07-13,511.25
2001-07-14,351.6666666666667
2001-07-15,350.0
2001-07-16,1050.0
2001-07-17,521.75
2001-07-18,465.0
2001-07-19,461.0
2001-07-20,720.0
2001-07-21,538.0
2001-07-22,340.0
2001-07-23,478.0
2001-07-24,295.0
2001-07-25,341.25
2001-07-26,368.3333333333333
2001-07-27,631.25
2001-07-28,510.0
2001-07-29,440.0
2001-07-30,495.0
2001-07-31,721.0
2001-08-01,501.0
2001-08-02,593.3333333333334
2001-08-03,625.0
2001-08-04,596.6666666666666
2001-08-06,616.4
2001-08-07,678.3333333333334
2001-08-08,570.0
2001-08-09,536.6666666666666
2001-08-10,425.0
2001-08-11,547.5
2001-08-13,678.75
2001-08-14,673.75
2001-08-16,716.25
2001-08-17,430.0
2001-08-18,692.5
2001-08-19,542.5
2001-08-20,960.0
2001-08-21,740.0
2001-08-22,667.5
2001-08-23,507.5
2001-08-24,510.0
2001-08-25,825.0
2001-08-26,450.0
2001-08-27,633.3333333333334
2001-08-28,626.3333333333334
2001-08-29,631.4
2001-08-30,560.0
2001-08-31,550.0
2001-09-01,894.0
2001-09-03,482.5
2001-09-04,500.0
2001-09-05,651.0
2001-09-06,606.25
2001-09-07,750.0
2001-09-08,431.25
2001-09-09,510.0
2001-09-10,625.0
2001-09-11,438.3333333333333
2001-09-12,478.3333333333333
2001-09-13,477.0
2001-09-14,581.6666666666666
2001-09-15,683.0
2001-09-16,460.0
2001-09-17,490.0
2001-09-18,612.5
2001-09-19,664.0
2001-09-20,705.0
2001-09-21,791.6666666666666
2001-09-22,681.25
2001-09-23,550.0
2001-09-24,743.3333333333334
2001-09-25,682.0
2001-09-26,614.1666666666666
2001-09-27,653.0
2001-09-28,675.0
2001-09-29,437.5
2001-09-30,500.0
2001-10-01,331.25
2001-10-02,483.75
2001-10-03,442.0
2001-10-04,405.0
2001-10-05,441.25
2001-10-06,463.75
